,sujeto,lados,angulo,combinacion,mediana,ciclo
82,AB06_mine_excluded_nogc.mat,L-L,knee,Ltoe-Lknee,0.00668239593505855,stance
83,AB06_mine_excluded_nogc.mat,L-L,knee,Ltoe-Lknee,0.4977927207946777,swing
84,AB06_mine_excluded_nogc.mat,L-L,hip_addu,Ltoe-Lhip_addu,0.39599132537841797,full
85,AB06_mine_excluded_nogc.mat,L-L,hip_addu,Ltoe-Lhip_addu,0.0012612342834472,nods
86,AB06_mine_excluded_nogc.mat,L-L,hip_addu,Ltoe-Lhip_addu,0.07503461837768549,stance
87,AB06_mine_excluded_nogc.mat,L-L,hip_addu,Ltoe-Lhip_addu,0.0830755233764648,swing
88,AB06_mine_excluded_nogc.mat,L-L,hip_flex,Ltoe-Lhip_flex,0.19093561172485352,full
89,AB06_mine_excluded_nogc.mat,L-L,hip_flex,Ltoe-Lhip_flex,0.01109552383422845,nods
90,AB06_mine_excluded_nogc.mat,L-L,hip_flex,Ltoe-Lhip_flex,0.0654425621032714,stance
91,AB06_mine_excluded_nogc.mat,L-L,hip_flex,Ltoe-Lhip_flex,0.14253807067871088,swing
92,AB06_mine_excluded_nogc.mat,L-L,hip_rot,Ltoe-Lhip_rot,0.1200776100158691,full
93,AB06_mine_excluded_nogc.mat,L-L,hip_rot,Ltoe-Lhip_rot,0.0020675659179686997,nods
94,AB06_mine_excluded_nogc.mat,L-L,hip_rot,Ltoe-Lhip_rot,0.0061373710632324,stance
95,AB06_mine_excluded_nogc.mat,L-L,hip_rot,Ltoe-Lhip_rot,0.00329494476318355,swing
96,AB07_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.11671304702758785,full
97,AB07_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.00793409347534175,nods
98,AB07_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.10128927230834955,stance
99,AB07_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.013401985168457,swing
100,AB07_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.1291065216064453,full
101,AB07_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.00894117355346675,nods
102,AB07_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.0137519836425781,stance
103,AB07_mine_excluded_nogc.mat,R-R,subt,Rtoe-Rsubt,0.2047591209411621,swing
104,AB07_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.4182114601135254,full
105,AB07_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.0067663192749023,nods
106,AB07_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.04252195358276365,stance
107,AB07_mine_excluded_nogc.mat,R-R,knee,Rtoe-Rknee,0.5120720863342285,swing
108,AB07_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.3934693336486816,full
109,AB07_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.0008912086486816001,nods
110,AB07_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.20444297790527338,stance
111,AB07_mine_excluded_nogc.mat,R-R,hip_addu,Rtoe-Rhip_addu,0.08950567245483396,swing
112,AB07_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.16101312637329096,full
113,AB07_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.02188634872436515,nods
114,AB07_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.14594936370849604,stance
115,AB07_mine_excluded_nogc.mat,R-R,hip_flex,Rtoe-Rhip_flex,0.1081628799438476,swing
116,AB07_mine_excluded_nogc.mat,R-R,hip_rot,Rtoe-Rhip_rot,0.023020267486572203,full
117,AB07_mine_excluded_nogc.mat,R-R,hip_rot,Rtoe-Rhip_rot,0.0012693405151366498,nods
